uniq_id,product_name,product_category_tree,retail_price,discounted_price,product_rating,brand,discount,shipping,date
b0e55fae54f31a0f2c2ad453b28ad395,1OAK Women's Floral Print Casual Shirt,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> 1OAK Shirts >> 1OAK Women's Floral Print Casual Shirt""]",899,675,5,1OAK,24.92,0,10/01/2021
07e80857cb14f8df31e503ad40bc45e0,1OAK Women's Polka Print Casual Shirt,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> 1OAK Shirts >> 1OAK Women's Polka Print Casual Shirt""]",799,599,4,1OAK,25.03,0,25/01/2021
152e0aa4b19e3687555fdca123e17943,3D Mat Floor Car Mat Toyota Innova,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",7250,6999,4,3D Mat,3.46,0,10/01/2021
2ad41c2dc87185c82f8d4e113988eb1f,3a AUTOCARE Car Mat Chevrolet Beat,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2250,1490,5,3a AUTOCARE,33.78,0,10/01/2021
14c3b36f7e0699805999e7ec7bf2445d,3a AUTOCARE Car Mat Honda City,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2800,1850,5,3a AUTOCARE,33.93,0,10/01/2021
fae160e68db4e64a22ad0e414dc456fb,3a AUTOCARE Car Mat Honda Mobilio,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",3000,2350,1,3a AUTOCARE,21.67,0,10/01/2021
c15e90bbb0f477b010acc5c890ea0c4c,3a AUTOCARE Car Mat Hyundai Grand i10,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2250,1490,3,3a AUTOCARE,33.78,0,10/01/2021
d227c86f231af1617edde80d3723f6a3,3a AUTOCARE Car Mat Hyundai Grand i10,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2250,1490,3,3a AUTOCARE,33.78,0,25/01/2021
bd37cdae508edf892d352b844cd227ca,3a AUTOCARE Car Mat Hyundai Santro,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2250,1490,1,3a AUTOCARE,33.78,0,10/01/2021
2b1f1ed2fa590560a7160c27900592bd,3a AUTOCARE Car Mat Hyundai Verna,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2800,1790,2,3a AUTOCARE,36.07,0,10/01/2021
6a4b95fb86e083a5860179da8e4f81cd,3a AUTOCARE Car Mat Hyundai Xcent,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2600,1790,2,3a AUTOCARE,31.15,0,10/01/2021
3f1a33752f6aec6116235a0cc6baadd2,3a AUTOCARE Car Mat Hyundai i20,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2300,1490,1,3a AUTOCARE,35.22,0,10/01/2021
8f38dc839103bd946dd37dabe25310c3,3a AUTOCARE Car Mat Mahindra Scorpio,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",3500,2750,5,3a AUTOCARE,21.43,0,10/01/2021
5304a1b73f60f89e8b7811fe7dde9c02,3a AUTOCARE Car Mat Mahindra XUV 500,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",3500,2750,4,3a AUTOCARE,21.43,0,10/01/2021
812d84a5e6b14ce103979ca17a3975b7,3a AUTOCARE Car Mat Maruti Alto K10,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2250,1490,1,3a AUTOCARE,33.78,0,10/01/2021
8a73794091aa805cf5dbfc4bbe5e46e2,3a AUTOCARE Car Mat Maruti Celerio,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2250,1490,5,3a AUTOCARE,33.78,0,10/01/2021
1e76d40b0ec9cf3602d846b2e70ce7db,3a AUTOCARE Car Mat Maruti Ciaz,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2400,1890,4,3a AUTOCARE,21.25,0,10/01/2021
1fa7c27ab7186cf204cb71f9d5891557,3a AUTOCARE Car Mat Maruti Ertiga,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2500,2090,3,3a AUTOCARE,16.4,0,10/01/2021
2327d2a56e3670b663d33925dbc9b777,3a AUTOCARE Car Mat Maruti Swift,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2250,1490,4,3a AUTOCARE,33.78,0,10/01/2021
847027765930859d9e6862e7e3039594,3a AUTOCARE Car Mat Maruti Swift Dzire,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2250,1490,4,3a AUTOCARE,33.78,0,10/01/2021
51391e797e5ef7f5ae97bbdfdcf7e68c,3a AUTOCARE Car Mat Maruti Swift Dzire,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]",2250,1490,4,3a AUTOCARE,33.78,0,25/01/2021
