col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,retail_price,discounted_price,product_rating,discount,shipping,date
0,0,0,0,0,1,0,0,1,1,1599,1498,3,6.32,0,25/02/2021
0,0,0,0,0,1,0,0,1,1,1599,1498,3,6.32,0,10/03/2021
0,0,0,0,0,1,0,0,1,1,1599,1498,3,6.32,0,25/03/2021
0,0,0,0,0,1,0,0,1,1,1599,1498,3,6.32,0,10/04/2021
0,0,0,0,0,1,0,0,1,1,1599,1498,3,6.32,0,25/04/2021
0,0,0,0,0,1,0,0,1,1,1599,1498,3,6.32,0,10/05/2021
0,0,0,0,1,0,0,0,1,1,2609,2047,5,21.54,0,10/01/2021
0,0,0,0,1,0,0,0,1,1,2529,1983,5,21.59,0,25/01/2021
0,0,0,0,1,0,0,0,1,1,2418,1894,5,21.67,0,10/02/2021
0,0,0,0,1,0,0,0,1,1,2029,1583,5,21.98,0,25/02/2021
0,0,0,0,1,0,0,0,1,1,2868,2254,5,21.41,0,10/03/2021
0,0,0,0,1,0,0,0,1,1,1818,1415,5,22.17,0,25/03/2021
0,0,0,0,1,0,0,0,1,1,4915,3892,5,20.81,0,10/04/2021
0,0,0,0,1,0,0,0,1,1,3264,2571,5,21.23,0,25/04/2021
0,0,0,0,1,0,0,0,1,1,1872,1458,5,22.12,0,10/05/2021
0,0,0,0,1,0,0,0,1,1,2334,1827,5,21.72,0,25/05/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,10/01/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,25/01/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,10/02/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,25/02/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,10/03/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,25/03/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,10/04/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,25/04/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,10/05/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,25/05/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,10/06/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,25/06/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,10/07/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,25/07/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,10/08/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,25/08/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,10/09/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,25/09/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,10/10/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,25/10/2021
1,0,1,0,0,0,0,0,1,0,999,599,1,40.04,0,10/11/2021
0,0,1,0,0,0,1,0,1,0,199,149,3,25.13,40,10/01/2021
0,1,1,0,0,0,1,0,0,0,399,199,3,50.13,40,10/01/2021
1,0,0,1,0,1,0,0,0,0,2059,629,4,69.45,0,10/01/2021
0,0,0,0,1,1,1,0,0,0,2599,655,5,74.8,0,10/01/2021
1,0,0,0,0,1,0,1,0,0,1599,689,3,56.91,0,10/01/2021
0,0,0,0,0,1,0,1,0,1,2099,599,2,71.46,0,10/01/2021
1,1,0,0,0,0,0,1,0,0,2900,1450,5,50.0,0,10/01/2021
0,0,0,2,0,0,0,1,0,0,900,400,5,55.56,0,10/01/2021
0,1,1,0,0,0,1,0,0,0,22900,17745,2,22.51,0,10/01/2021
1,0,1,0,0,1,0,0,0,0,1499,1350,4,9.94,0,10/01/2021
0,1,1,1,0,0,0,0,0,0,1299,1170,3,9.93,0,10/01/2021
0,0,3,0,0,0,0,0,0,0,2299,2173,2,5.48,0,10/01/2021
1,0,1,0,0,1,0,0,0,0,1599,599,5,62.54,0,10/01/2021
1,0,1,0,0,1,0,0,0,0,1599,599,5,62.54,0,25/01/2021
1,0,1,0,0,1,0,0,0,0,1599,599,5,62.54,0,10/02/2021
1,0,1,0,0,1,0,0,0,0,1499,599,5,60.04,0,25/02/2021
0,0,0,0,1,0,0,1,1,0,599,599,2,0.0,0,10/01/2021
0,0,1,0,1,0,0,0,1,0,1499,555,3,62.98,0,10/01/2021
0,0,1,0,1,0,0,0,1,0,1450,510,3,64.83,0,25/01/2021
0,0,1,0,1,0,0,0,1,0,1499,555,3,62.98,0,10/02/2021
0,0,1,0,0,0,1,0,1,0,999,299,1,70.07,40,10/01/2021
0,0,0,0,0,2,0,0,1,0,1499,999,1,33.36,0,10/01/2021
0,0,1,1,0,1,0,0,0,0,799,399,2,50.06,0,10/01/2021
0,1,0,0,0,0,0,0,1,1,959,499,3,47.97,0,10/01/2021
0,0,0,0,0,2,0,0,1,0,900,269,4,70.11,40,10/01/2021
0,0,0,0,0,2,0,0,1,0,899,269,4,70.08,40,25/01/2021
0,0,0,0,0,2,0,0,1,0,900,269,4,70.11,40,10/02/2021
1,0,0,0,0,0,0,1,0,1,2299,899,5,60.9,0,10/01/2021
0,0,0,0,0,0,0,1,1,1,3899,1149,4,70.53,0,10/01/2021
0,1,0,0,0,1,0,0,0,1,399,289,4,27.57,40,10/01/2021
0,0,0,0,2,0,0,0,0,1,2499,999,4,60.02,0,10/01/2021
0,0,0,0,1,0,0,0,0,2,2150,999,2,53.53,0,10/01/2021
0,0,0,0,0,0,1,0,0,2,499,279,1,44.09,40,10/01/2021
0,0,1,0,0,0,0,0,1,1,1200,699,4,41.75,0,10/01/2021
1,0,0,0,0,0,0,0,0,2,499,279,4,44.09,40,10/01/2021
0,0,0,1,0,0,0,1,0,1,499,279,3,44.09,40,10/01/2021
0,0,0,3,0,0,0,0,0,0,990,339,2,65.76,40,10/01/2021
1,0,0,1,0,1,0,0,0,0,990,339,3,65.76,40,10/01/2021
0,0,1,1,0,0,0,0,0,1,990,249,1,74.85,40,10/01/2021
0,0,0,1,1,0,0,1,0,0,990,339,2,65.76,40,10/01/2021
0,1,0,1,0,0,0,0,0,1,790,249,3,68.48,40,10/01/2021
0,1,1,0,0,0,0,0,1,0,999,499,5,50.05,0,10/01/2021
0,1,1,0,0,0,0,0,1,0,900,450,5,50.0,0,25/01/2021
0,1,1,0,0,0,0,0,1,0,900,450,5,50.0,0,10/02/2021
0,0,0,0,0,1,2,0,0,0,799,599,1,25.03,0,10/01/2021
0,0,0,1,1,0,0,1,0,0,1899,1399,4,26.33,0,10/01/2021
1,0,0,0,0,1,0,0,0,1,2149,1299,5,39.55,0,10/01/2021
1,0,0,0,0,1,0,0,0,1,2349,1119,5,52.36,0,25/01/2021
1,0,0,1,0,0,0,0,0,1,1849,879,5,52.46,0,10/01/2021
0,0,1,0,0,0,0,0,0,2,1999,899,2,55.03,0,10/01/2021
0,1,0,0,0,0,0,0,0,2,2649,1599,3,39.64,0,10/01/2021
0,1,0,0,0,0,0,0,0,2,2499,1199,3,52.02,0,25/01/2021
0,1,0,0,0,0,0,0,0,2,2849,1359,3,52.3,0,10/02/2021
0,1,0,0,0,0,0,0,0,2,1999,699,3,65.03,0,25/02/2021
0,1,0,0,0,0,0,0,0,2,2799,1399,3,50.02,0,10/03/2021
1,0,0,0,0,0,0,1,0,1,2149,1299,2,39.55,0,10/01/2021
0,0,0,1,0,0,1,1,0,0,500,259,1,48.2,40,10/01/2021
0,0,1,2,0,0,0,0,0,0,500,259,2,48.2,40,10/01/2021
0,1,0,1,0,0,0,1,0,0,500,259,4,48.2,40,10/01/2021
0,0,0,1,0,0,1,0,1,0,500,259,1,48.2,40,10/01/2021
0,0,0,1,1,0,0,0,1,0,500,259,4,48.2,40,10/01/2021
0,0,0,1,0,0,1,0,1,0,500,259,1,48.2,40,10/01/2021
0,1,1,1,0,0,0,0,0,0,500,259,3,48.2,40,10/01/2021
0,1,0,1,0,0,0,0,0,1,500,259,3,48.2,40,10/01/2021
0,0,0,1,0,0,0,1,0,1,500,259,1,48.2,40,10/01/2021
0,0,0,1,1,1,0,0,0,0,500,259,3,48.2,40,10/01/2021
1,1,0,1,0,0,0,0,0,0,500,259,4,48.2,40,10/01/2021
0,0,2,1,0,0,0,0,0,0,500,259,2,48.2,40,10/01/2021
0,0,0,2,1,0,0,0,0,0,500,259,5,48.2,40,10/01/2021
0,0,0,1,2,0,0,0,0,0,500,259,4,48.2,40,10/01/2021
0,0,0,1,1,0,1,0,0,0,500,259,4,48.2,40,10/01/2021
0,0,0,1,1,0,0,0,1,0,500,259,5,48.2,40,10/01/2021
0,1,0,1,1,0,0,0,0,0,500,259,3,48.2,40,10/01/2021
0,0,0,1,0,0,0,1,1,0,500,259,1,48.2,40,10/01/2021
0,0,1,2,0,0,0,0,0,0,500,259,5,48.2,40,10/01/2021
0,0,0,1,0,0,0,0,1,1,500,259,3,48.2,40,10/01/2021
